STUSAB,SUMLEVEL,GEOID,NAME
CO,050,0500000US08107,"Routt County, Colorado"
CO,060,0600000US0810791729,"Hayden CCD, Routt County, Colorado"
CO,060,0600000US0810792717,"Oak Creek CCD, Routt County, Colorado"
CO,060,0600000US0810793496,"Steamboat Springs CCD, Routt County, Colorado"
CO,060,0600000US0810793933,"Yampa CCD, Routt County, Colorado"
CO,070,0700000US081079172935070,"Hayden town, Hayden CCD, Routt County, Colorado"
CO,070,0700000US081079172999999,"Remainder of Hayden CCD, Hayden CCD, Routt County, Colorado"
CO,070,0700000US081079271755155,"Oak Creek town, Oak Creek CCD, Routt County, Colorado"
CO,070,0700000US081079271758785,"Phippsburg CDP, Oak Creek CCD, Routt County, Colorado"
CO,070,0700000US081079271799999,"Remainder of Oak Creek CCD, Oak Creek CCD, Routt County, Colorado"
CO,070,0700000US081079349673825,"Steamboat Springs city, Steamboat Springs CCD, Routt County, Colorado"
CO,070,0700000US081079349699999,"Remainder of Steamboat Springs CCD, Steamboat Springs CCD, Routt County, Colorado"
CO,070,0700000US081079393386475,"Yampa town, Yampa CCD, Routt County, Colorado"
CO,070,0700000US081079393399999,"Remainder of Yampa CCD, Yampa CCD, Routt County, Colorado"
CO,140,1400000US08107000100,"Census Tract 1, Routt County, Colorado"
CO,140,1400000US08107000200,"Census Tract 2, Routt County, Colorado"
CO,140,1400000US08107000300,"Census Tract 3, Routt County, Colorado"
CO,140,1400000US08107000400,"Census Tract 4, Routt County, Colorado"
CO,140,1400000US08107000500,"Census Tract 5, Routt County, Colorado"
CO,140,1400000US08107000600,"Census Tract 6, Routt County, Colorado"
CO,140,1400000US08107000700,"Census Tract 7, Routt County, Colorado"
CO,140,1400000US08107000800,"Census Tract 8, Routt County, Colorado"
CO,150,1500000US081070001001,"Block Group 1, Census Tract 1, Routt County, Colorado"
CO,150,1500000US081070001002,"Block Group 2, Census Tract 1, Routt County, Colorado"
CO,150,1500000US081070002001,"Block Group 1, Census Tract 2, Routt County, Colorado"
CO,150,1500000US081070002002,"Block Group 2, Census Tract 2, Routt County, Colorado"
CO,150,1500000US081070003001,"Block Group 1, Census Tract 3, Routt County, Colorado"
CO,150,1500000US081070003002,"Block Group 2, Census Tract 3, Routt County, Colorado"
CO,150,1500000US081070004001,"Block Group 1, Census Tract 4, Routt County, Colorado"
CO,150,1500000US081070004002,"Block Group 2, Census Tract 4, Routt County, Colorado"
CO,150,1500000US081070005001,"Block Group 1, Census Tract 5, Routt County, Colorado"
CO,150,1500000US081070005002,"Block Group 2, Census Tract 5, Routt County, Colorado"
CO,150,1500000US081070005003,"Block Group 3, Census Tract 5, Routt County, Colorado"
CO,150,1500000US081070005004,"Block Group 4, Census Tract 5, Routt County, Colorado"
CO,150,1500000US081070006001,"Block Group 1, Census Tract 6, Routt County, Colorado"
CO,150,1500000US081070006002,"Block Group 2, Census Tract 6, Routt County, Colorado"
CO,150,1500000US081070007001,"Block Group 1, Census Tract 7, Routt County, Colorado"
CO,150,1500000US081070007002,"Block Group 2, Census Tract 7, Routt County, Colorado"
CO,150,1500000US081070007003,"Block Group 3, Census Tract 7, Routt County, Colorado"
CO,150,1500000US081070008001,"Block Group 1, Census Tract 8, Routt County, Colorado"
CO,150,1500000US081070008002,"Block Group 2, Census Tract 8, Routt County, Colorado"
CO,155,1550000US0835070107,"Routt County (part), Hayden town, Colorado"
CO,155,1550000US0855155107,"Routt County (part), Oak Creek town, Colorado"
CO,155,1550000US0858785107,"Routt County (part), Phippsburg CDP, Colorado"
CO,155,1550000US0873825107,"Routt County (part), Steamboat Springs city, Colorado"
CO,155,1550000US0886475107,"Routt County (part), Yampa town, Colorado"
CO,160,1600000US0835070,"Hayden town, Colorado"
CO,160,1600000US0855155,"Oak Creek town, Colorado"
CO,160,1600000US0858785,"Phippsburg CDP, Colorado"
CO,160,1600000US0873825,"Steamboat Springs city, Colorado"
CO,160,1600000US0886475,"Yampa town, Colorado"
CO,312,3120000US444600873825,"Steamboat Springs city, CO; Steamboat Springs, CO Micro Area"
CO,313,3130000US4446008107,"Routt County; Colorado (part); Steamboat Springs, CO Micro Area"
CO,320,3200000US0844460,"Steamboat Springs, CO Micro Area; Colorado"
CO,321,3210000US084446073825,"Steamboat Springs city; Steamboat Springs, CO Micro Area; Colorado"
CO,322,3220000US0844460107,"Routt County; Steamboat Springs, CO Micro Area; Colorado"
CO,340,3400000US08525,"Steamboat Springs-Craig, CO CSA; Colorado"
CO,341,3410000US0852544460,"Steamboat Springs, CO Micro Area; Steamboat Springs-Craig, CO CSA; Colorado"
CO,430,4300000US8468208107,"Routt County (part); Colorado (part); Steamboat Springs, CO Urban Cluster (2010)"
CO,510,5100000US0803107,"Routt County, Congressional District 3 (116th Congress), Colorado"
CO,612,6120000US08008107,"Routt County, State Senate District 8 (2018), Colorado"
CO,622,6220000US08026107,"Routt County, State House District 26 (2018), Colorado"
CO,795,7950000US0800200,"Northwest Colorado--Garfield, Routt, Moffat & Rio Blanco Counties PUMA; Colorado"
CO,970,9700000US0804590,"Hayden School District RE-1, Colorado"
CO,970,9700000US0805910,"South Routt School District RE-3, Colorado"
CO,970,9700000US0806660,"Steamboat Springs School District RE-2, Colorado"
